id,observed_on,place_guess,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
92047670,2021-08-21,"Miami-Dade County, FL, USA",25.4631362322,-80.3778175441,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
102137849,2021-11-26,"SW 86th Ln, Miami, FL, US",25.6869026957,-80.4057202117,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
103786486,2021-03-11,"Miami-Dade County, US-FL, US",25.2355709148,-80.4102265049,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
104317615,2012-08-22,"Florida, US",25.319761253,-80.4423067513,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
104317666,2012-08-11,"Florida, US",25.3242151996,-80.4258037306,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
104317843,2012-08-11,"Miami-Dade County, US-FL, US",25.4723018651,-80.4204078961,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
107239256,2014-05-07,"Florida, US",25.346820639,-80.5694620429,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
107700959,2022-02-27,"Old Card Sound Rd, Homestead, FL, US",25.404475,-80.4541866667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
107704544,2022-03-01,"SW 237th Ave, Homestead, FL, US",25.395025,-80.5735866667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
108466882,2022-03-11,"SW 312th St, Homestead, FL, US",25.4792228917,-80.5552815089,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
108552955,2022-03-12,"Miami-Dade County, FL, USA",25.4356866667,-80.5015766667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
108552956,2022-03-12,"Miami-Dade County, FL, USA",25.4356933333,-80.5015883333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
113645987,2022-04-29,"Homestead, FL, US",25.4190083333,-80.5592883333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
115503149,2022-04-30,"Miami-Dade County, FL, USA",25.3925909999,-80.689392,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
121686972,2022-06-13,"Florida City, FL 33034, USA",25.3871610907,-80.44288259,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
121687430,2022-06-13,"Miami-Dade County, US-FL, US",25.3833145154,-80.4404005408,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
122957700,2020-11-28,"Collier County, US-FL, US",26.0699801672,-81.2760506276,Collier,Florida,Salvator merianae,Argentine Black-and-white Tegu
123134529,2022-06-23,"Lake Placid, Everglades, FL, US",25.8536843526,-81.381956411,Collier,Florida,Salvator merianae,Argentine Black-and-white Tegu
123850081,2022-06-28,"Picos Rd, Fort Pierce, FL, US",27.4331964844,-80.4357080399,Saint Lucie,Florida,Salvator merianae,Argentine Black-and-white Tegu
125342823,2022-07-08,"SW 192nd Ave, Homestead, FL, US",25.393545,-80.500075,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
128620239,2022-07-30,"Champions Way, Port Saint Lucie, FL, US",27.2976165378,-80.4195385141,Saint Lucie,Florida,Salvator merianae,Argentine Black-and-white Tegu
129165723,2022-08-02,"Florida, US",26.8153929726,-81.8628609809,Charlotte,Florida,Salvator merianae,Argentine Black-and-white Tegu
130319400,2022-08-07,"Miami-Dade County, US-FL, US",25.3295682494,-80.4075785477,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
132057830,2022-08-23,"SE 12th Rd, Homestead, FL, US",25.4439038,-80.4602237,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
132997563,2022-05-19,"Old Dixie Hwy, Homestead, FL, US",25.3843633333,-80.4412383333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
133020066,2022-08-29,"Fort Pierce, FL 34945, USA",27.4240248713,-80.4155535623,Saint Lucie,Florida,Salvator merianae,Argentine Black-and-white Tegu
139805239,2022-10-23,"Florida, US",28.6338576103,-81.3634762846,Orange,Florida,Salvator merianae,Argentine Black-and-white Tegu
146052235,2022-10-24,"Florida, US",28.7098139897,-81.3101760195,Orange,Florida,Salvator merianae,Argentine Black-and-white Tegu
150499291,2021-06-13,"Hialeah, FL, USA",25.8655254297,-80.2686944969,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
150865398,2023-03-11,"Everglades National Park, Homestead, FL, US",25.40235,-80.615845,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
152143300,2023-03-24,Homestead,25.3931274414,-80.5008544922,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
152536111,2023-03-25,"Fort Pierce, FL, US",27.4339063885,-80.4440256899,Saint Lucie,Florida,Salvator merianae,Argentine Black-and-white Tegu
152781682,2022-08-03,"Miami-Dade County, US-FL, US",25.5437807814,-80.4848114804,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
153625079,2023-04-05,"Everglades National Park, Homestead, FL, US",25.4624977838,-80.6256506464,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
156067311,2023-04-22,"SW Ninth Ln, Miami, FL, US",25.7575520889,-80.435117653,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
156095932,2023-04-22,"Miami-Dade County, US-FL, US",25.3680492371,-80.4428488947,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
157300058,2023-04-28,"Homestead, FL, US",25.469655,-80.3468033333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
157789366,2023-04-29,"SW 192nd Ave, Homestead, FL, US",25.39318569,-80.5011212412,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
158366055,2023-04-30,"Miami-Dade County, FL, USA",25.4713759948,-80.3957526242,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
