common_name,observed_on,latitude,longitude,place_county_name,place_state_name,year,month,month_name
American Crocodile,2016-02-06,25.664951,-80.323541,Miami-Dade,Florida,2016,2,Feb
American Crocodile,2013-12-17,25.729257,-80.373769,Miami-Dade,Florida,2013,12,Dec
American Crocodile,2015-02-11,25.289985,-80.233608,Miami-Dade,Florida,2015,2,Feb
American Crocodile,2015-10-22,25.075878,-80.984574,Monroe,Florida,2015,10,Oct
American Crocodile,2015-04-02,25.04338,-80.810836,Monroe,Florida,2015,4,Apr
American Crocodile,2016-12-30,25.190766,-80.816522,Monroe,Florida,2016,12,Dec
American Crocodile,2010-07-31,25.11762,-80.968345,Monroe,Florida,2010,7,Jul
American Crocodile,2017-01-09,25.141391,-80.899059,Monroe,Florida,2017,1,Jan
American Crocodile,2017-01-08,25.686059,-80.379544,Miami-Dade,Florida,2017,1,Jan
American Crocodile,2017-01-07,25.379795,-80.859002,Miami-Dade,Florida,2017,1,Jan
American Crocodile,2017-02-02,25.765001,-80.385248,Miami-Dade,Florida,2017,2,Feb
American Crocodile,2014-12-21,25.647959,-80.274352,Miami-Dade,Florida,2014,12,Dec
American Crocodile,2016-11-24,25.740629,-80.231312,Miami-Dade,Florida,2016,11,Nov
American Crocodile,2017-02-23,25.760769,-80.390112,Miami-Dade,Florida,2017,2,Feb
American Crocodile,2012-03-31,25.19882,-80.891403,Monroe,Florida,2012,3,Mar
American Crocodile,2017-02-23,25.06238,-80.874265,Monroe,Florida,2017,2,Feb
American Crocodile,2017-03-04,25.16877,-80.868479,Monroe,Florida,2017,3,Mar
American Crocodile,2017-01-02,25.134644,-80.871714,Monroe,Florida,2017,1,Jan
American Crocodile,2017-03-09,25.609939,-80.225003,Miami-Dade,Florida,2017,3,Mar
American Crocodile,2014-11-29,25.127507,-80.697717,Miami-Dade,Florida,2014,11,Nov
American Crocodile,2017-03-24,25.512213,-80.367817,Miami-Dade,Florida,2017,3,Mar
American Crocodile,2017-03-26,25.443892,-80.34651,Miami-Dade,Florida,2017,3,Mar
American Crocodile,2017-03-26,25.498186,-80.309858,Miami-Dade,Florida,2017,3,Mar
American Crocodile,2015-04-03,25.19852,-80.994797,Monroe,Florida,2015,4,Apr
American Crocodile,2017-03-07,25.396371,-80.614171,Miami-Dade,Florida,2017,3,Mar
American Crocodile,2017-04-14,25.781245,-80.241421,Miami-Dade,Florida,2017,4,Apr
American Crocodile,2017-04-14,25.170585,-80.912266,Monroe,Florida,2017,4,Apr
American Crocodile,2017-04-16,25.774041,-80.083481,Miami-Dade,Florida,2017,4,Apr
American Crocodile,2017-01-05,25.186315,-80.811565,Monroe,Florida,2017,1,Jan
American Crocodile,2017-04-16,25.683204,-80.362289,Miami-Dade,Florida,2017,4,Apr
American Crocodile,2009-07-18,25.170586,-80.868661,Monroe,Florida,2009,7,Jul
American Crocodile,2009-07-18,25.145197,-80.948786,Monroe,Florida,2009,7,Jul
American Crocodile,2009-12-05,25.077547,-80.87826,Monroe,Florida,2009,12,Dec
American Crocodile,2017-04-12,25.669133,-80.283457,Miami-Dade,Florida,2017,4,Apr
American Crocodile,2017-04-25,25.139838,-80.953842,Monroe,Florida,2017,4,Apr
American Crocodile,2014-01-17,25.778181,-80.20386,Miami-Dade,Florida,2014,1,Jan
American Crocodile,2003-11-08,25.403241,-80.802764,Miami-Dade,Florida,2003,11,Nov
American Crocodile,2017-04-26,25.024966,-80.811637,Monroe,Florida,2017,4,Apr
American Crocodile,2016-04-17,25.394376,-80.996739,Miami-Dade,Florida,2016,4,Apr
American Crocodile,2017-05-11,25.165333,-80.851535,Monroe,Florida,2017,5,May
American Crocodile,2017-03-23,25.060299,-80.807871,Monroe,Florida,2017,3,Mar
American Crocodile,2017-03-17,25.153161,-80.874107,Monroe,Florida,2017,3,Mar
American Crocodile,2017-05-03,25.191526,-80.943643,Monroe,Florida,2017,5,May
American Crocodile,2014-10-29,25.163254,-80.815067,Monroe,Florida,2014,10,Oct
American Crocodile,2017-06-03,25.122866,-80.843222,Monroe,Florida,2017,6,Jun
American Crocodile,2017-04-06,25.170426,-80.924093,Monroe,Florida,2017,4,Apr
American Crocodile,2014-02-01,25.322801,-80.991807,Monroe,Florida,2014,2,Feb
American Crocodile,2017-04-30,25.014226,-80.821237,Monroe,Florida,2017,4,Apr
American Crocodile,2017-06-23,24.954369,-80.630556,Monroe,Florida,2017,6,Jun
American Crocodile,2017-03-18,25.166168,-80.854073,Monroe,Florida,2017,3,Mar
American Crocodile,2015-11-11,25.338372,-80.802629,Monroe,Florida,2015,11,Nov
American Crocodile,2017-07-06,25.796088,-80.369291,Miami-Dade,Florida,2017,7,Jul
American Crocodile,2017-05-06,25.529175,-80.812528,Miami-Dade,Florida,2017,5,May
American Crocodile,2017-07-16,25.121705,-80.847298,Monroe,Florida,2017,7,Jul
American Crocodile,2015-03-30,24.683544,-82.870884,Monroe,Florida,2015,3,Mar
American Crocodile,2017-08-02,25.228363,-80.647073,Miami-Dade,Florida,2017,8,Aug
American Crocodile,2014-10-07,25.211408,-80.844923,Monroe,Florida,2014,10,Oct
American Crocodile,2016-02-04,25.117248,-80.903933,Monroe,Florida,2016,2,Feb
American Crocodile,2013-01-21,25.073327,-80.968669,Monroe,Florida,2013,1,Jan
American Crocodile,2013-10-20,25.109577,-80.904988,Monroe,Florida,2013,10,Oct
American Crocodile,2017-09-14,29.645825,-82.34717,Alachua,Florida,2017,9,Sep
American Crocodile,2017-10-09,29.713117,-82.207172,Alachua,Florida,2017,10,Oct
American Crocodile,2012-01-21,25.08189,-80.950278,Monroe,Florida,2012,1,Jan
American Crocodile,2012-01-21,25.003808,-80.835639,Monroe,Florida,2012,1,Jan
American Crocodile,2005-02-08,25.090839,-80.907326,Monroe,Florida,2005,2,Feb
American Crocodile,2017-10-19,25.167262,-80.830299,Monroe,Florida,2017,10,Oct
American Crocodile,2017-10-19,25.168053,-80.937181,Monroe,Florida,2017,10,Oct
American Crocodile,2017-10-19,25.186899,-80.85233,Monroe,Florida,2017,10,Oct
American Crocodile,2012-04-20,25.145009,-80.998825,Monroe,Florida,2012,4,Apr
American Crocodile,2017-04-06,25.187887,-80.870636,Monroe,Florida,2017,4,Apr
American Crocodile,2017-04-06,25.132516,-80.935473,Monroe,Florida,2017,4,Apr
American Crocodile,2017-10-30,25.137582,-80.220558,Monroe,Florida,2017,10,Oct
American Crocodile,2017-11-04,24.956183,-80.75826,Monroe,Florida,2017,11,Nov
American Crocodile,2017-10-24,29.616809,-82.327209,Alachua,Florida,2017,10,Oct
American Crocodile,2017-04-22,29.606032,-82.303101,Alachua,Florida,2017,4,Apr
American Crocodile,2017-11-10,25.389031,-80.842486,Monroe,Florida,2017,11,Nov
American Crocodile,2017-11-15,25.063311,-80.376204,Monroe,Florida,2017,11,Nov
American Crocodile,2017-11-28,25.140776,-80.380318,Monroe,Florida,2017,11,Nov
American Crocodile,2017-11-28,25.015322,-80.291797,Monroe,Florida,2017,11,Nov
American Crocodile,2017-11-29,25.15134,-80.366643,Monroe,Florida,2017,11,Nov
American Crocodile,2015-08-12,25.103429,-80.874839,Monroe,Florida,2015,8,Aug
American Crocodile,2015-11-18,25.694567,-80.369449,Miami-Dade,Florida,2015,11,Nov
American Crocodile,2017-12-06,25.108084,-80.253877,Monroe,Florida,2017,12,Dec
American Crocodile,2017-12-07,25.110739,-80.835414,Monroe,Florida,2017,12,Dec
American Crocodile,2017-12-22,25.052727,-80.96456,Monroe,Florida,2017,12,Dec
American Crocodile,2017-12-22,25.154751,-80.916441,Monroe,Florida,2017,12,Dec
American Crocodile,2017-12-21,25.087647,-80.823964,Monroe,Florida,2017,12,Dec
American Crocodile,2017-12-26,25.036796,-80.807137,Monroe,Florida,2017,12,Dec
American Crocodile,2017-12-26,25.084657,-80.811395,Monroe,Florida,2017,12,Dec
American Crocodile,2012-12-04,25.190549,-80.900057,Monroe,Florida,2012,12,Dec
American Crocodile,2017-12-30,25.046002,-80.914157,Monroe,Florida,2017,12,Dec
American Crocodile,2017-12-30,25.181695,-80.964666,Monroe,Florida,2017,12,Dec
American Crocodile,2017-12-17,25.639998,-80.225465,Miami-Dade,Florida,2017,12,Dec
American Crocodile,2017-12-31,25.034489,-80.88887,Monroe,Florida,2017,12,Dec
American Crocodile,2017-12-28,25.024081,-80.82957,Monroe,Florida,2017,12,Dec
American Crocodile,2017-12-17,25.121548,-80.260408,Monroe,Florida,2017,12,Dec
American Crocodile,2018-01-04,25.034957,-80.329484,Monroe,Florida,2018,1,Jan
American Crocodile,2018-01-01,25.121855,-80.825314,Monroe,Florida,2018,1,Jan
American Crocodile,2018-01-10,25.033298,-80.863917,Monroe,Florida,2018,1,Jan
American Crocodile,2017-03-20,25.157563,-80.852188,Monroe,Florida,2017,3,Mar
American Crocodile,2018-01-15,25.465021,-80.367084,Miami-Dade,Florida,2018,1,Jan
American Crocodile,2018-01-15,25.050549,-80.902976,Monroe,Florida,2018,1,Jan
American Crocodile,2018-01-13,25.499158,-80.291476,Miami-Dade,Florida,2018,1,Jan
American Crocodile,2018-01-21,25.028551,-80.903416,Monroe,Florida,2018,1,Jan
American Crocodile,2017-03-18,25.048962,-80.923083,Monroe,Florida,2017,3,Mar
American Crocodile,2018-01-31,25.14939,-80.352439,Monroe,Florida,2018,1,Jan
American Crocodile,2018-02-05,25.267934,-80.557728,Miami-Dade,Florida,2018,2,Feb
American Crocodile,2018-02-05,25.321873,-80.475767,Miami-Dade,Florida,2018,2,Feb
American Crocodile,2018-01-31,25.596727,-80.274202,Miami-Dade,Florida,2018,1,Jan
American Crocodile,2018-01-19,25.142047,-80.821106,Monroe,Florida,2018,1,Jan
American Crocodile,2018-02-05,25.437438,-80.28199,Miami-Dade,Florida,2018,2,Feb
American Crocodile,2018-02-04,25.018186,-80.882683,Monroe,Florida,2018,2,Feb
American Crocodile,2018-02-04,25.190233,-80.878661,Monroe,Florida,2018,2,Feb
American Crocodile,2018-02-20,25.376669,-80.316189,Miami-Dade,Florida,2018,2,Feb
American Crocodile,2017-02-20,25.117844,-80.882884,Monroe,Florida,2017,2,Feb
American Crocodile,2018-02-19,25.394272,-80.725832,Miami-Dade,Florida,2018,2,Feb
American Crocodile,2018-03-04,25.03588,-80.98176,Monroe,Florida,2018,3,Mar
American Crocodile,2018-03-09,25.282163,-80.507544,Miami-Dade,Florida,2018,3,Mar
American Crocodile,2018-03-09,25.125949,-80.899939,Monroe,Florida,2018,3,Mar
American Crocodile,2017-12-22,25.625031,-80.381485,Miami-Dade,Florida,2017,12,Dec
American Crocodile,2009-02-19,25.155863,-80.964259,Monroe,Florida,2009,2,Feb
